Tenure_Months,Monthly_GB_Used,Customer_Service_Calls,Contract_Type,Monthly_Bill,Churn
39,416,6,Monthly,118.89268917290524,1
52,216,5,Yearly,81.61932089948391,1
29,238,7,Yearly,79.50798550292238,1
15,350,2,Monthly,103.53832724878124,0
43,407,5,Monthly,111.8798121237438,1
8,75,4,Monthly,33.812732996431265,1
21,84,1,Yearly,46.66434279174001,0
39,444,0,Monthly,123.91407399689152,0
58,112,6,Yearly,68.76357027879891,1
19,431,3,Yearly,113.13835162788848,0
23,201,3,Monthly,70.41229889969127,0
11,261,2,Monthly,74.05272651945131,0
11,235,7,Monthly,68.44393393072227,1
24,303,3,Monthly,97.27154872960617,0
53,315,4,Monthly,114.74827088930172,1
36,107,6,Monthly,52.49728327376296,1
40,347,5,Yearly,95.6020130036356,1
24,295,4,Yearly,96.31687424785466,1
3,344,2,Yearly,84.15599790723931,0
22,356,4,Monthly,103.2637241922987,1
53,444,5,Yearly,127.47164063485891,1
2,456,1,Yearly,118.68877492629836,0
24,491,2,Yearly,142.91833947650764,0
44,317,1,Yearly,106.31403454602668,0
30,258,0,Yearly,86.12948675770241,0
38,175,1,Monthly,72.38930212404968,0
2,490,0,Monthly,122.90899655656456,0
21,481,0,Yearly,129.53843375467292,0
33,344,1,Yearly,110.31749226776432,0
12,39,2,Yearly,30.660417387009584,0
58,256,7,Monthly,101.90058853202322,1
22,115,5,Monthly,51.28765966646902,1
44,60,4,Yearly,48.71142175964973,1
25,90,4,Monthly,50.29492289498268,1
49,142,5,Monthly,68.2874363481146,1
27,294,6,Yearly,98.16863498871297,1
59,397,6,Monthly,124.5903981099209,1
42,147,0,Monthly,72.2177297034368,0
28,193,0,Yearly,69.58288850620139,0
16,410,2,Monthly,111.38531375218756,0
15,339,3,Monthly,92.6800171327232,0
47,282,1,Yearly,93.61394362571232,0
51,349,0,Monthly,117.71886370475924,0
44,481,4,Monthly,137.02292189043388,1
55,78,2,Yearly,64.5299247036123,0
52,43,1,Yearly,52.45578532184781,0
57,271,2,Yearly,96.06031743115774,0
3,62,1,Monthly,39.31589298528128,0
37,459,1,Yearly,133.98378877720546,0
51,214,5,Monthly,85.4651951222338,1
7,135,0,Yearly,50.84889606749399,0
21,244,7,Monthly,84.5100974158147,1
9,52,2,Yearly,32.61480832068801,0
39,249,7,Yearly,87.79057747404725,1
18,468,2,Yearly,123.81816250003688,0
4,380,5,Yearly,95.70454468222708,1
25,120,4,Monthly,60.78545998493512,1
14,258,7,Yearly,77.7554960984628,1
50,160,4,Yearly,73.07982062503012,1
58,192,6,Monthly,90.44319414936996,1
9,345,0,Yearly,87.78934675284327,0
26,104,0,Monthly,63.87439280562106,0
53,468,3,Yearly,148.01248181790103,0
2,383,5,Yearly,100.16747738460508,1
20,409,4,Yearly,113.94665510909952,1
28,17,1,Monthly,39.31220708909649,0
47,397,2,Yearly,120.45452607040546,0
7,369,0,Yearly,98.7865482284042,0
44,397,7,Yearly,116.78433694771076,1
8,193,2,Monthly,65.1190920922009,0
47,290,2,Monthly,105.83923471515648,0
35,204,3,Yearly,76.40956949508333,0
14,361,4,Monthly,96.2244910292264,1
17,204,0,Yearly,63.23761487676046,0
36,164,2,Yearly,78.08977616782846,0
50,102,0,Yearly,62.82167983078895,0
40,169,1,Yearly,72.80630481991689,0
4,443,3,Yearly,112.10077792497864,0
2,70,1,Yearly,36.41103821444968,0
6,131,0,Yearly,52.93280047840536,0
54,60,6,Monthly,57.10335040080836,1
42,412,7,Monthly,117.70666030764544,1
4,286,0,Monthly,72.63167345513843,0
54,14,4,Monthly,46.90372383578576,1
29,475,2,Monthly,124.74074762662688,0
18,101,2,Monthly,47.681916473461214,0
26,179,1,Monthly,75.33789405379993,0
44,326,7,Yearly,105.31360897058156,1
34,31,3,Yearly,41.31174569332722,0
10,414,6,Yearly,107.71800611872106,1
36,335,5,Yearly,102.97187504393968,1
14,10,7,Monthly,28.66304382140903,1
31,142,2,Monthly,66.60434611240674,0
48,242,4,Yearly,96.82375527381656,1
15,21,7,Yearly,36.71606599869512,1
8,355,1,Monthly,105.2842611036551,0
14,55,1,Yearly,40.84679723086219,0
23,43,5,Yearly,51.27239450674655,1
57,442,4,Yearly,133.01759095970178,1
40,87,3,Yearly,67.85642451212293,0
21,227,7,Monthly,73.99811972890205,1
16,310,4,Yearly,88.58990534618482,1
45,420,3,Yearly,125.90063726288564,0
18,82,4,Monthly,44.30689644420635,1
47,291,4,Monthly,102.12920198363253,1
53,258,0,Yearly,95.1998599875578,0
24,56,1,Monthly,47.34981086535687,0
26,130,7,Yearly,56.2358248268941,1
25,223,4,Yearly,80.37805199126446,1
45,248,7,Monthly,99.7386180976188,1
41,65,5,Yearly,51.7144881509613,1
29,359,4,Yearly,110.27191708989588,1
15,116,2,Yearly,53.495796444515925,0
45,328,1,Yearly,119.36443441109876,0
1,57,2,Monthly,29.37584717577525,0
25,70,7,Monthly,50.47535808402892,1
7,346,7,Yearly,84.56994454111724,1
9,35,1,Monthly,29.02070794631593,0
24,301,7,Yearly,93.96696418798454,1
1,266,2,Yearly,80.6657998454489,0
44,17,4,Yearly,39.27033317507899,1
8,122,4,Yearly,52.33045320370556,1
24,364,0,Yearly,104.4838827175852,0
11,262,5,Monthly,70.29236173303845,1
51,189,7,Yearly,84.20793422974396,1
17,216,2,Monthly,80.24580616489106,0
8,312,7,Monthly,80.79788670044192,1
35,136,7,Yearly,64.15031142314909,1
35,65,3,Yearly,45.56680507680217,0
33,223,0,Yearly,78.75708534044992,0
59,23,2,Yearly,61.26085071762317,0
5,483,2,Yearly,117.7423776225431,0
42,37,7,Monthly,55.40782868757663,1
39,480,0,Yearly,141.04527023965792,0
58,87,4,Yearly,64.58631043257776,1
41,225,2,Monthly,82.98700269696884,0
28,395,4,Monthly,108.5200059659275,1
7,374,0,Yearly,93.64559402903298,0
9,163,4,Monthly,58.86603697253922,1
8,23,1,Yearly,28.50107342392517,0
12,196,3,Monthly,62.08197282535397,0
34,321,6,Monthly,93.4561853893836,1
33,380,2,Yearly,113.03089383911106,0
48,16,5,Monthly,44.85223910469334,1
55,12,3,Monthly,48.92351152208953,0
23,120,6,Monthly,57.02330914349041,1
24,416,4,Monthly,102.69098569306068,1
37,247,2,Monthly,80.23362698145438,0
35,372,4,Monthly,123.38221538402595,1
44,248,1,Yearly,89.0669474665019,0
40,283,0,Yearly,84.01283448801234,0
22,303,2,Monthly,84.35029910241873,0
27,236,6,Yearly,93.12233684320717,1
35,380,6,Yearly,109.9850126986508,1
1,24,1,Yearly,31.095076224485783,0
35,201,1,Monthly,78.30558999168603,0
37,482,7,Yearly,132.47516481250514,1
47,128,2,Monthly,72.97722735381546,0
14,494,4,Yearly,113.87821662321858,1
3,37,5,Monthly,21.694336900716984,1
1,211,6,Monthly,60.2382449393022,1
5,48,6,Yearly,25.38547800865196,1
26,450,1,Yearly,120.09611105748014,0
55,282,3,Monthly,108.16856522841414,0
14,240,1,Yearly,75.66068360667991,0
39,95,5,Yearly,65.15308517754795,1
27,483,4,Yearly,131.07687642175875,1
9,135,4,Monthly,56.46230415747263,1
15,309,3,Monthly,88.97964849935752,0
15,34,6,Yearly,31.348622583201085,1
26,154,1,Yearly,71.20284027770944,0
42,22,7,Yearly,41.85324856031966,1
13,221,4,Monthly,72.4192241156215,1
51,34,5,Monthly,56.14448681612237,1
32,77,2,Yearly,55.60746352235428,0
39,403,0,Yearly,114.27278664889992,0
49,76,0,Yearly,64.95975202914133,0
52,242,0,Yearly,89.50522376946365,0
32,118,7,Yearly,63.65351827674997,1
4,155,6,Yearly,55.67586735524549,1
30,120,1,Monthly,63.093153308899495,0
37,237,3,Yearly,79.87498239450487,0
23,120,7,Monthly,58.43964871367196,1
39,479,7,Yearly,140.72796838204087,1
45,43,4,Yearly,52.066978915808704,1
15,120,2,Monthly,47.40691660197712,0
43,273,7,Monthly,100.69873807163997,1
29,433,5,Monthly,121.66959814050384,1
36,378,2,Monthly,105.22777868086152,0
13,245,5,Yearly,71.01905268841669,1
32,92,6,Monthly,51.76852734386514,1
7,51,1,Yearly,41.22909143819828,0
59,434,0,Monthly,142.9509154315311,0
51,110,7,Yearly,74.13484265528338,1
22,15,1,Yearly,35.161801388419335,0
28,189,6,Yearly,76.367973958896,1
2,291,3,Yearly,73.49610295657055,0
42,329,3,Yearly,106.83401549196384,0
45,235,6,Yearly,91.75816350824796,1
57,452,5,Monthly,133.5255047134544,1
53,449,4,Yearly,137.34956044820936,1
6,324,4,Monthly,96.23319592902172,1
28,374,5,Monthly,111.59384892280312,1
28,463,3,Yearly,131.18772603332062,0
44,238,3,Monthly,77.33796538283869,0
44,386,7,Yearly,126.98984424576464,1
20,298,3,Monthly,88.66938826123915,0
30,446,1,Yearly,120.3565684296498,0
11,159,3,Monthly,56.42681074095034,0
58,286,2,Yearly,98.77488920859552,0
55,207,7,Yearly,94.13971030876073,1
28,79,0,Yearly,48.12302138613104,0
25,121,3,Yearly,53.006845939869656,0
39,13,5,Monthly,41.259724671558175,1
33,359,0,Yearly,113.8900782728807,0
1,340,1,Monthly,89.15729200390611,0
57,455,5,Monthly,132.45153115233268,1
27,327,0,Monthly,101.22490414870542,0
57,359,5,Yearly,115.65510022838689,1
52,104,1,Monthly,56.01949484312591,0
13,161,7,Monthly,66.18003606358589,1
41,320,2,Monthly,106.78614937413845,0
3,146,1,Yearly,50.30864668098293,0
39,256,1,Yearly,88.97195242651651,0
6,396,5,Monthly,109.18539750366658,1
8,252,7,Yearly,89.83577575099203,1
27,40,6,Yearly,43.74390259283258,1
9,49,4,Monthly,29.151826588360617,1
37,238,3,Monthly,85.32767240566011,0
33,45,3,Yearly,47.65286336047025,0
51,417,2,Monthly,117.15235846504068,0
42,232,2,Yearly,89.0724960088906,0
44,15,3,Yearly,47.1821256474654,0
24,331,4,Yearly,104.8317109899361,1
15,477,3,Yearly,129.0106165118653,0
59,229,6,Yearly,95.85586080144768,1
54,84,4,Yearly,71.37318453290179,1
32,13,2,Monthly,48.77839159519378,0
32,344,0,Monthly,104.9397572762223,0
24,143,5,Yearly,62.69093539233874,1
41,127,6,Yearly,57.06351323444713,1
52,378,6,Yearly,114.34513368779456,1
49,103,7,Monthly,60.9090184299524,1
49,495,2,Yearly,141.28190847741473,0
58,444,2,Monthly,132.31938487630967,0
52,71,1,Yearly,60.02002294011379,0
12,450,6,Yearly,113.9314541616269,1
39,203,1,Monthly,85.45447615669806,0
2,344,1,Monthly,87.42613177258146,0
3,212,5,Yearly,52.46641025892254,1
49,401,1,Yearly,125.3287558626771,0
37,35,4,Yearly,45.4290098779433,1
49,444,3,Monthly,128.98975059297754,0
56,182,0,Monthly,84.87499941748518,0
17,309,2,Monthly,84.92367705886834,0
59,142,4,Monthly,79.54919976811672,1
49,335,0,Monthly,124.66462218464926,0
2,419,6,Monthly,95.77197263546618,1
2,127,6,Yearly,43.8187895649542,1
28,333,6,Yearly,97.21747439275433,1
54,284,4,Monthly,101.6337005825623,1
23,221,4,Yearly,80.79962289798488,1
37,234,2,Yearly,88.01413279659513,0
32,29,3,Monthly,46.04383251303212,0
33,122,7,Yearly,61.052477523768,1
1,149,1,Monthly,43.68950340027571,0
19,56,6,Monthly,35.126573193700104,1
2,10,5,Yearly,26.73129853733296,1
53,99,3,Monthly,67.15415949206648,0
44,151,5,Monthly,78.5010370303942,1
26,329,2,Monthly,100.266310516234,0
32,47,2,Monthly,39.48492503333937,0
6,302,2,Monthly,80.79049092908423,0
32,391,0,Monthly,117.02407074841466,0
55,148,5,Monthly,80.65166248119313,1
4,365,3,Monthly,99.27554316077344,0
55,342,7,Yearly,110.65737943397404,1
11,268,3,Yearly,73.09484916961537,0
56,170,4,Yearly,81.0509874012629,1
59,399,4,Monthly,136.50036758266728,1
17,187,6,Monthly,62.43065839595992,1
38,19,7,Yearly,45.07485945300486,1
24,270,4,Yearly,88.27530569469482,1
5,416,2,Yearly,109.50386374835308,0
52,147,3,Monthly,83.72220126974105,0
34,181,5,Yearly,81.00953212383054,1
6,395,2,Yearly,99.02697083080248,0
22,22,0,Monthly,24.91052279345663,0
11,177,4,Yearly,57.50735332317628,1
48,139,2,Monthly,72.17836147023617,0
16,93,2,Monthly,44.79177361157171,0
33,330,0,Monthly,112.33949471464068,0
9,328,1,Yearly,90.19390152158223,0
59,110,3,Yearly,74.76855940128097,0
6,338,5,Monthly,91.68607154823673,1
16,282,6,Yearly,82.66683408254589,1
29,274,1,Yearly,79.67594161018668,0
3,468,4,Yearly,114.70691180729258,1
20,408,2,Yearly,127.87323646577065,0
59,417,7,Monthly,126.67770800081084,1
36,47,0,Yearly,38.32563477812887,0
19,428,0,Monthly,124.78194651284456,0
26,103,7,Monthly,57.31041484934668,1
3,104,3,Yearly,43.23709940261718,0
19,314,1,Monthly,99.1133693118353,0
20,78,6,Yearly,41.44249028521952,1
32,327,3,Yearly,100.86702619542676,0
7,453,7,Monthly,118.87577058450412,1
52,245,2,Monthly,105.55177183910196,0
41,443,7,Monthly,123.25727842671698,1
33,343,3,Monthly,111.50367229280198,0
40,382,5,Yearly,118.30919530420492,1
39,385,0,Yearly,117.31530533714708,0
18,468,0,Yearly,122.56135388872632,0
40,146,4,Monthly,62.276766896526986,1
1,427,4,Monthly,110.71544499106516,1
11,85,7,Monthly,38.58865489836836,1
28,492,6,Yearly,127.00154648748828,1
57,44,2,Monthly,61.72729479450169,0
25,10,5,Yearly,38.44567012573339,1
50,305,1,Monthly,106.39500041805532,0
23,329,3,Yearly,102.6977181040582,0
31,415,6,Yearly,125.62968290739558,1
30,69,2,Monthly,55.3411203891277,0
42,329,4,Monthly,104.1586051329901,1
35,358,7,Yearly,114.17052465639856,1
7,337,3,Yearly,91.95820488754325,0
16,276,4,Monthly,91.82953885176188,1
26,370,7,Monthly,106.38135831866414,1
48,238,3,Yearly,89.81764181315835,0
57,279,1,Monthly,101.23101561578562,0
52,325,2,Yearly,111.94643947117778,0
49,295,3,Yearly,105.83362733796052,0
2,300,5,Monthly,83.42981141463636,1
1,222,6,Monthly,66.6458627015593,1
48,174,0,Monthly,82.15518506339905,0
12,14,5,Monthly,27.68729082042801,1
5,348,5,Monthly,87.73742342204065,1
37,388,6,Yearly,111.30086001543177,1
32,87,0,Yearly,58.275255476517344,0
59,419,5,Monthly,135.65161155264147,1
55,71,3,Monthly,52.42081114524838,0
9,141,3,Monthly,58.18376713399971,0
41,98,3,Yearly,69.50217573201327,0
35,246,0,Monthly,83.12041574620734,0
19,51,5,Monthly,41.380800231380206,1
48,98,7,Yearly,61.2327095318382,1
16,411,0,Yearly,113.34153462735584,0
3,305,3,Monthly,76.66995555462387,0
20,337,6,Monthly,97.0427717145061,1
24,304,5,Monthly,97.70657063999391,1
54,113,5,Yearly,75.77855869649419,1
56,23,4,Monthly,54.732479094598446,1
33,297,4,Monthly,94.20477348395131,1
24,188,1,Monthly,61.63699457828195,0
52,134,7,Yearly,69.01225144380359,1
11,431,7,Yearly,109.3536329762261,1
49,362,2,Monthly,113.41133108349192,0
8,32,7,Monthly,30.69776484156808,1
36,72,4,Yearly,50.690561319143576,1
38,152,0,Yearly,70.26060686167722,0
40,490,7,Yearly,144.01313650523832,1
